id,price,number_of_reviews,last_review,neighbourhood,name,availability_365,host_id,room_type,latitude,longitude,coords,pais
49349681,534,18,2023-07-24,Belize Islands,Home in San Pedro · ★4.72 · 3 bedrooms · 3 beds · 3.5 baths,1,293134913,Entire home/apt,17.890984,-87.980698,"17.890984,-87.980698",Belize
49361794,333,3,2021-11-30,Cayo,Nature lodge in Belmopan · ★4.0 · 1 bed · 1 private bath,365,27131197,Private room,17.27369,-88.77691,"17.27369,-88.77691",Belize
49364479,635,1,2023-06-24,Belize Islands,Condo in San Pedro · 3 bedrooms · 3 beds · 3 baths,329,45929380,Entire home/apt,17.88299,-87.98959,"17.88299,-87.98959",Belize
49364906,635,2,2022-03-28,Belize Islands,Condo in San Pedro · 3 bedrooms · 3 beds · 3 baths,341,45929380,Entire home/apt,17.88163,-87.99203,"17.88163,-87.99203",Belize
49381569,383,3,2023-07-08,Cayo,Bungalow in San Ignacio · ★5.0 · 1 bedroom · 1 bed · 1 bath,256,38183609,Entire home/apt,17.16916,-89.10165,"17.16916,-89.10165",Belize
49381943,423,4,2023-04-02,Cayo,Home in San Ignacio · ★5.0 · 2 bedrooms · 3 beds · 1 bath,267,38183609,Entire home/apt,17.16855,-89.10152,"17.16855,-89.10152",Belize
49382730,790,1,2022-08-21,Belize Islands,Condo in San Pedro · 2 bedrooms · 3 beds · 2.5 baths,262,12621502,Entire home/apt,17.9451,-87.94386,"17.9451,-87.94386",Belize
49422543,601,9,2023-08-26,Stann Creek Mainland,Home in Hopkins Village · ★5.0 · 2 bedrooms · 2 beds · 2 baths,211,40621113,Entire home/apt,16.86175,-88.28391,"16.86175,-88.28391",Belize
49438771,1340,3,2023-06-17,Stann Creek Mainland,Villa in Placencia · ★5.0 · 6 bedrooms · 8 beds · 5 baths,125,72483617,Entire home/apt,16.65467,-88.31361,"16.65467,-88.31361",Belize
49487092,373,20,2023-08-09,Cayo,Cabin in Cristo Rey · ★4.95 · 3 bedrooms · 6 beds · 3 baths,129,230055677,Entire home/apt,17.13532,-89.04525,"17.13532,-89.04525",Belize
49502382,97,6,2023-02-18,Belize Islands,Condo in Caye Caulker · ★3.33 · Studio · 2 beds · 1 bath,337,197556576,Entire home/apt,17.74079,-88.0232,"17.74079,-88.0232",Belize
49504655,119,67,2023-07-19,Stann Creek Mainland,Guesthouse in Placencia · ★4.90 · 1 bedroom · 1 bed · 1 bath,287,50944698,Entire home/apt,16.514198,-88.367058,"16.514198,-88.367058",Belize
49529880,447,30,2023-09-18,Belize Islands,Condo in San Pedro · ★5.0 · 2 bedrooms · 2 beds · 2 baths,201,85339670,Entire home/apt,17.9343,-87.95404,"17.9343,-87.95404",Belize
49569772,292,8,2023-05-06,Belize Islands,Villa in San Pedro · ★4.88 · 1 bedroom · 2 beds · 1 bath,251,151270790,Entire home/apt,17.92346,-87.96018,"17.92346,-87.96018",Belize
49588132,373,59,2023-09-01,Belize Islands,Villa in San Pedro · ★4.97 · 2 bedrooms · 3 beds · 1 bath,255,151270790,Entire home/apt,17.92072,-87.96067,"17.92072,-87.96067",Belize
49646915,564,15,2022-10-30,Belize Islands,"Condo in San Pedro, Ambergris Caye · ★4.80 · 3 bedrooms · 3 beds · 2 baths",266,237102448,Entire home/apt,17.88069,-87.99311,"17.88069,-87.99311",Belize
49712900,247,0,,Belize Mainland,Rental unit in Belize City · 1 bedroom · 2 beds · 1 private bath,0,397570448,Private room,17.5058,-88.20161,"17.5058,-88.20161",Belize
49739273,905,28,2023-08-06,Belize Islands,Villa in San Pedro · ★4.86 · 3 bedrooms · 4 beds · 3.5 baths,307,8003973,Entire home/apt,17.92071,-87.96193,"17.92071,-87.96193",Belize
49758971,50,18,2023-09-16,Stann Creek Islands,Bed and breakfast in Tobacco Caye · ★4.67 · 2 bedrooms · 2 beds · 1 shared bath,117,71725573,Private room,16.89838,-88.06128,"16.89838,-88.06128",Belize
49810145,242,15,2023-06-01,Belize Islands,Rental unit in Caye Caulker · ★5.0 · 1 bedroom · 1 bed · 1 bath,255,604999,Entire home/apt,17.74621,-88.02476,"17.74621,-88.02476",Belize
49810734,450,25,2023-06-15,Belize Islands,Aparthotel in Caye Caulker · ★4.96 · 2 bedrooms · 2 beds · 1 bath,229,401714860,Entire home/apt,17.74534,-88.02403,"17.74534,-88.02403",Belize
49814966,252,0,,Cayo,Home in Benque Viejo Del Carmen · 2 bedrooms · 2 beds · 1 bath,0,382392408,Entire home/apt,17.06504,-89.13395,"17.06504,-89.13395",Belize
49871954,695,21,2023-07-27,Belize Islands,Island in Belize City · ★4.90 · 2 bedrooms · 3 beds · 2 baths,332,161021579,Entire home/apt,17.54981,-88.07918,"17.54981,-88.07918",Belize
49895539,127,4,2023-05-26,Stann Creek Mainland,Rental unit in Hopkins · ★3.75 · Studio · 2 beds · 1 bath,365,76414486,Entire home/apt,16.85286,-88.28191,"16.85286,-88.28191",Belize
49930332,302,5,2022-03-27,Belize Islands,Condo in San Pedro · ★5.0 · 2 bedrooms · 2 beds · 2 baths,1,76462031,Entire home/apt,17.92132,-87.9615,"17.92132,-87.9615",Belize
49962437,1516,2,2023-06-11,Belize Islands,Island in Belize City · 4 bedrooms · 10 beds · 6 baths,297,161021579,Entire home/apt,17.55327,-88.07368,"17.55327,-88.07368",Belize
50149730,451,6,2022-04-13,Belize Islands,Boutique hotel in San Pedro · ★4.83 · 1 bedroom · 2 beds · 1 bath,289,19450284,Private room,17.92318,-87.96003,"17.92318,-87.96003",Belize
50194650,117,22,2023-07-20,Belize Islands,Condo in Caye Caulker · ★4.68 · 1 bedroom · 2 beds · 1 bath,206,76598410,Entire home/apt,17.742132,-88.023796,"17.742132,-88.023796",Belize
50260319,320,0,,Belize Islands,Home in San Pedro · 1 bedroom · 1 bed · 1 bath,333,144130330,Entire home/apt,17.9223,-87.96133,"17.9223,-87.96133",Belize
50268306,320,1,2022-04-23,Belize Islands,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,0,144130330,Entire home/apt,17.92189,-87.96216,"17.92189,-87.96216",Belize
50291302,992,0,,Belize Islands,Home in Caye Caulker · 8 bedrooms · 17 beds · 7 baths,364,76414486,Private room,17.73569,-88.02872,"17.73569,-88.02872",Belize
50295372,1219,0,,Belize Islands,Home in Caye Caulker · 9 bedrooms · 18 beds · 9 baths,364,76414486,Private room,17.73502,-88.03064,"17.73502,-88.03064",Belize
50312932,141,10,2022-07-27,Belize Islands,Tiny home in San Pedro · ★5.0 · 1 bedroom · 2 beds · 1 bath,89,72404857,Entire home/apt,17.89896,-87.98547,"17.89896,-87.98547",Belize
50354359,302,0,,Orange Walk,"Home in San Antonio Rio Hondo, Belize, Central America · 3 bedrooms · 4 beds · 1 bath",0,400230632,Entire home/apt,18.13221,-88.6763,"18.13221,-88.6763",Belize
50437814,874,1,2022-01-30,Stann Creek Mainland,Villa in Stann Creek District · 4 bedrooms · 4 beds · 4 baths,52,72483617,Entire home/apt,16.58174,-88.36349,"16.58174,-88.36349",Belize
50507213,450,17,2023-08-16,Belize Islands,Condo in San Pedro · ★5.0 · 3 bedrooms · 4 beds · 2 baths,257,402636567,Entire home/apt,17.89322,-87.9794,"17.89322,-87.9794",Belize
50507838,385,4,2022-07-06,Belize Islands,Condo in San Pedro · ★4.25 · 2 bedrooms · 2 beds · 2 baths,197,402636567,Entire home/apt,17.8914,-87.97852,"17.8914,-87.97852",Belize
50526080,200,0,,Cayo,Home in San Ignacio · 2 bedrooms · 3 beds · 2 baths,365,126301104,Entire home/apt,17.15159,-89.08022,"17.15159,-89.08022",Belize
50548575,1060,3,2023-04-07,Belize Islands,Rental unit in San Pedro · ★4.67 · 3 bedrooms · 4 beds · 3 baths,197,146517735,Entire home/apt,17.97487,-87.92607,"17.97487,-87.92607",Belize
