id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
918092540912425508,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,131,1,1,2023-06-23,0.32,12,310,1,
918112847094279116,Rental unit in Placencia · 2 bedrooms · 3 beds · 2 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55775883,-88.362161,Entire home/apt,281,2,0,,,62,272,0,
918112862222905113,Rental unit in Placencia · Studio · 2 beds · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,173,2,0,,,62,304,0,
918112877318380041,Rental unit in Placencia · 1 bedroom · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,238,2,0,,,62,281,0,
918112892254196546,Rental unit in Placencia · Studio · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,173,2,0,,,62,325,0,
918112908711449830,Rental unit in Placencia · 3 bedrooms · 4 beds · 3 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.557774,-88.362412,Entire home/apt,427,2,0,,,62,136,0,
918112924576499671,Rental unit in Placencia · Studio · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,173,2,0,,,62,347,0,
918112938178519396,Rental unit in Placencia · 1 bedroom · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,0,,,62,257,0,
918112952175650293,Rental unit in Placencia · Studio · 2 beds · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,173,2,0,,,62,264,0,
918112967599337912,Rental unit in Placencia · Studio · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,0,,,62,264,0,
918112982690593574,Rental unit in Placencia · 1 bedroom · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,0,,,62,243,0,
918112998472672803,Rental unit in Placencia · 2 bedrooms · 3 beds · 2 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55775883,-88.362161,Entire home/apt,281,2,0,,,62,58,0,
918113013920584638,Rental unit in Placencia · 1 bedroom · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,0,,,62,293,0,
918113031386983920,Rental unit in Placencia · 3 bedrooms · 4 beds · 3 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.557774,-88.362412,Entire home/apt,427,2,2,2023-09-17,2,62,108,2,
918113045585521613,Rental unit in Placencia · Studio · 2 beds · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,173,2,0,,,62,313,0,
918113067358995590,Rental unit in Placencia · Studio · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,1,2023-08-13,0.71,62,310,1,
918113082835089456,Rental unit in Placencia · 1 bedroom · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,0,,,62,335,0,
918113099495327617,Rental unit in Placencia · 3 bedrooms · 4 beds · 3 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.557774,-88.362412,Entire home/apt,427,2,0,,,62,150,0,
918113115317619014,Rental unit in Placencia · Studio · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,173,2,0,,,62,343,0,
918113131131675599,Rental unit in Placencia · Studio · 1 bed · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.55796334,-88.36237636,Entire home/apt,191,2,0,,,62,343,0,
918113146408645512,Rental unit in Placencia · 20 bedrooms · 25 beds · 20 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.557774,-88.362412,Entire home/apt,2916,2,0,,,62,15,0,
918113164476999649,Rental unit in Placencia · ★4.67 · 6 bedrooms · 9 beds · 6 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.557774,-88.362412,Entire home/apt,829,2,3,2023-09-03,1.43,62,108,3,
918113181556824693,Rental unit in Placencia · 10 bedrooms · 13 beds · 10 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.557774,-88.362412,Entire home/apt,1334,2,0,,,62,30,0,
918115998281713979,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,121,1,0,,,12,311,0,
918123678670593938,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,121,1,0,,,12,313,0,
918134496047081863,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,121,1,0,,,12,313,0,
918140491812387472,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,131,1,1,2023-07-16,0.43,12,313,1,
918147860500353844,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,121,1,0,,,12,311,0,
918154868763556652,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,121,1,0,,,12,311,0,
918163460143081322,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,121,1,0,,,12,311,0,
918173773946249784,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49780576163598,-88.18387273381198,Private room,121,1,2,2023-07-31,0.78,12,311,2,
918835955792135485,Rental unit in San Pedro · 2 bedrooms · 2 beds · 0 baths,76414486,Vacasa Belize,Belize,Belize Islands,17.882797383186098,-88.0026898403616,Entire home/apt,605,2,0,,,231,364,0,
918835966984948175,Rental unit in San Pedro · 1 bedroom · 1 bed · 1 bath,76414486,Vacasa Belize,Belize,Belize Islands,17.88194,-88.00116,Entire home/apt,445,2,0,,,231,365,0,
918835967833449156,Rental unit in San Pedro · 2 bedrooms · 2 beds · 0 baths,76414486,Vacasa Belize,Belize,Belize Islands,17.881723155712425,-88.0011690788304,Entire home/apt,550,2,0,,,231,364,0,
918920661132488153,Home in San Ignacio · ★New · 9 bedrooms · 13 beds · 9.5 baths,507947573,Laura,Cayo,Cayo,17.15197554067145,-89.08247267263735,Entire home/apt,1411,1,0,,,7,175,0,
920226248268436370,Rental unit in Belize · 1 bedroom · 2 beds · 1 bath,521600332,Joan,Belize,Belize Islands,17.74568697497463,-88.02353766164,Entire home/apt,159,1,1,2023-07-16,0.43,2,88,1,
920254573526276278,Rental unit in Belize · 1 bedroom · 1 bed · 1 bath,521600332,Joan,Belize,Belize Islands,17.74565796783585,-88.02371007166826,Entire home/apt,159,1,0,,,2,90,0,
920440490239530361,Rental unit in Caye Caulker · 1 bedroom · 2 beds · 1 bath,205388534,Celina,Belize,Belize Islands,17.74419826281053,-88.02437335252762,Entire home/apt,277,3,0,,,1,270,0,
921855373472529294,Home in Corozal · ★4.60 · 1 bedroom · 1 bed · 1 bath,503687219,Sabrina,Corozal,Corozal,18.4030802,-88.3967536,Entire home/apt,74,2,5,2023-09-15,2.11,1,244,5,
922475018071896485,Rental unit in San Pedro · 2 bedrooms · 2 beds · 1 bath,144130330,BelizeIt,Belize,Belize Islands,17.927250408962795,-87.95935360097542,Entire home/apt,460,5,0,,,26,310,0,
922479627003797225,Rental unit in San Pedro · 4 bedrooms · 5 beds · 2 baths,144130330,BelizeIt,Belize,Belize Islands,17.927387254898925,-87.95734959817435,Entire home/apt,925,5,1,2023-08-04,0.59,26,291,1,
922568536048012639,Villa in Stann Creek District · 6 bedrooms · 6 beds · 6 baths,477673831,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.64639438,-88.31838654,Entire home/apt,1331,2,1,2023-07-31,0.55,4,264,1,
922568547649995361,Rental unit in Stann Creek District · Studio · 1 bed · 1 bath,477673831,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.64643954,-88.3183593,Entire home/apt,238,2,0,,,4,313,0,
922568561235114072,Villa in Stann Creek District · 2 bedrooms · 2 beds · 2 baths,477673831,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.64639438,-88.31838654,Entire home/apt,461,2,0,,,4,308,0,
